seriesuid,coordX,coordY,coordZ,diameter_mm,class
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-125.7381100148407,-21.505657517967677,28.274985114804963,2.3966462922026466,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-17.294331080668655,-78.06379225277902,-60.919006487806236,5.388783930575376,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,41.48117815300512,5.008877227970004,23.56669927502503,11.456149568269385,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-135.68516169250537,19.811163148222874,-51.20303285362635,3.8839515473354123,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-122.46028025596743,-121.75290351943197,-28.288003591305873,24.508252686916205,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-144.85166945047493,79.0093269011733,46.036946557616915,9.311303706145619,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,44.93210479282902,-135.58232274088988,67.37185973870788,22.28032929515314,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-145.4086379128846,130.03089242384488,0.15598258728888936,13.945058761601501,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,34.75534931697416,133.16748136822713,66.63773956877512,21.81277440532009,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,90.2847884047199,53.150502714894515,11.005056250789991,4.084008477613844,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,96.1918427231866,37.78190103047183,48.06402656569021,16.635634524586912,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-67.81166180365987,-85.62326408748775,-18.411137515803624,1.935115175445607,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-49.03373553338206,46.716790614222646,-17.190506855165246,17.358728055346955,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-71.79164152922907,-1.1887637119781402,28.9335538037909,9.360078506876736,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-138.24410199730613,-24.61619048532637,70.13708272803711,14.151325197954096,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,20.556085124987504,22.777372577425382,34.747163294946034,4.064553506139174,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,24.16320370317294,110.13498216291663,9.28000382156604,6.726324634968164,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,71.97262813421236,-78.52915427880617,-18.34066707355577,13.823859364733522,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-33.114574134238964,-60.709447647206744,-60.00226692572049,2.2836471219368537,1
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,104.14294322867693,-43.52844286118382,68.52013276896844,17.24247770618328,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-2.092302668458501,-125.01467664142211,-61.244377911227836,15.458582221626855,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-86.18163149273131,133.85836286450706,42.19440757068038,3.7231504484187523,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,142.27446256032306,148.77937260909874,-66.6193267983975,18.68885336298421,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,61.74944516360836,140.5955831922405,28.204501526255854,21.08713298169697,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,101.54422912919551,-22.172557485917665,-41.61353736434542,10.519638446902045,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-106.01855349239236,3.9978506077178793,-40.01578913632083,14.951330013442774,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,114.10799059152504,-78.99444189537638,61.15405595228194,15.205329731710824,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,62.454358674959934,-5.4999036107653865,-18.30186148166183,17.922024743119838,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-50.924241294270445,-19.66444665351861,-36.94767391902919,10.72485008275401,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,72.2921582732005,80.15845593257151,48.418552781503976,18.86107976663915,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-78.74805861225902,-29.93313213839255,-3.342766367965851,2.9893917206405014,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-19.099250518033216,90.63277470802024,71.68510031314062,14.34412092742203,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-136.97976501054816,127.39299906707879,62.867357291798925,7.071764031741787,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-127.36963587306923,-100.13537042722413,-42.47863401202632,8.067854724146317,1
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,59.07751675914443,-34.73945058623403,35.56510587645289,22.966104200058552,1
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-132.64083067268777,-31.643460417561045,-58.98659010961734,9.055841555127117,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,44.054508500617146,-33.51948480303835,-40.59078814425755,7.382510199141735,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-72.01504114372119,-14.027745951350681,-70.15260733355242,7.714324172054697,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,30.834564606989545,-68.71270724546103,-55.02223121643755,2.8288091103799156,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-25.00828267845624,24.348786354247892,62.876482775333926,2.9859620808473473,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,15.476361763221007,-100.54972165889971,-13.311732512194638,19.662454809645414,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,145.58581519965128,-36.97830901861778,37.43674499641081,10.43174677549262,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,20.724440749724295,-130.9464511229996,-69.4767198546013,4.212450851215197,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-127.3922818942613,57.5143191506736,5.151941254419455,18.997857987279325,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,25.544859697641584,67.83625322155441,38.562180306368376,10.068413182618874,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-88.48640144804253,-74.56726814646046,-33.79023044611368,5.973463576193355,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,77.09973965166861,-135.93105966263403,-34.699127696203895,1.532433808727239,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-7.136790963295738,99.41144701875035,-28.83341403434259,20.593257645113496,1
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-123.47753299030603,87.54535184088988,13.493384570645418,12.521103208443403,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,85.40047918329287,41.80840709227272,45.75670012790428,22.67562540823903,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,144.13881752771334,32.426354862565574,20.496648243342392,14.315574605013417,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,67.91910979506847,14.233892069733457,-7.363432887584338,22.85131068167855,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,7.080682804503368,59.29256144803901,44.47076635108159,12.024323390708139,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,80.67532239461923,-130.12920664444025,-68.12081003930506,15.89933642613019,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-87.26076267644575,23.894980341521517,-23.765518431518245,13.894322001137681,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,25.429831784746113,-29.909853326915595,29.65013605453977,5.321614536383165,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-26.50163569274156,112.29528145632514,2.285408229631628,24.3546483824825,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-82.84528022810382,96.53719105333477,-23.23760582664199,9.342861147584404,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,14.6145927622226,10.327051119756902,-21.60127735920208,22.461214309502218,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-50.97014600695337,-53.5251705959913,-61.15641206568809,12.547489457351038,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,3.497104064178359,-102.90669518514188,-18.407105213689114,1.0622805852075174,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-124.64489769579542,29.18342467662916,72.93854938002227,13.878175503695982,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-79.16504006477871,77.98662268127569,4.689863096030109,18.292385473395157,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-105.67827242813199,-110.06492142375652,28.07482581049966,21.26657614320709,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,-140.85835417992175,110.164494322417,-21.87799938103118,10.53193198009798,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,71.22156182814572,-95.31483645721258,9.594763802825454,21.177039661070346,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,10.600669204657066,-80.03507653505963,-23.56097035826096,12.375278594333349,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.000000000000,44.64685208747281,-6.1253694737249305,12.629922707125388,18.68373940947791,0
